# What the reference Basis transcoder produces, one line per image.
#
# Baked by tools/basis-cpp-oracle, which vendors the reference at the
# revision draco-texture was ported from and builds it in the profile a
# browser gets. Checked by crates/draco-texture/tests/ktx2_goldens.rs,
# which needs neither that compiler nor a browser.
#
# fixture	level	target	bytes	sha256
2d_etc1s.ktx2	2	bc3	16384	daf83d4716cc7c9acc03993912d018dae205c07a84e0aa04b4f748b5d0eeaf5b
2d_etc1s.ktx2	2	etc1	8192	17b0630df13fde33a8bf40642c1a1e62bfb9b389d426f86bd0973519e8d8fac4
2d_etc1s.ktx2	2	etc2	16384	d73dd75d0a77fa2afc53a0fc797451597ef58cbe5d7052d4737dfabdedef9ac3
2d_etc1s.ktx2	2	astc	16384	6bbd7a21463dc3ca5ad52061ae3e20df3902ad6f7ddcade3f4219bcba4e8fc0d
2d_etc1s.ktx2	3	rgba8	16384	1f4b9b4360bd9568d8339b35111de83e9462e78a61b85c977100d58841386f59
2d_etc1s.ktx2	3	bc1	2048	eb5745bf6ade1fa27868c0b75d3ae9a45f047a6b2feb3bbcf7996a0a21d991b9
2d_etc1s.ktx2	3	bc3	4096	e65dc9fd1547c569f696fe809193b123c5d24566c1d00e24119018a3fc163eeb
2d_etc1s.ktx2	3	etc1	2048	1e88571b48710af4bbbb167ba1e0ed65d5a20d264a937e981af25aa78c45cea9
2d_etc1s.ktx2	3	etc2	4096	4f75a493cadd19b4c79612fc1ed25b0853c747f2eba8eab86f0bd68fca3fd2f0
2d_etc1s.ktx2	3	astc	4096	53b37c1458ae37a98c47d5be0aa2b66a7cadd782e53e1bbbd1d37b3da5f810fd
2d_etc1s.ktx2	4	rgba8	4096	358014c7c1e0adb81bf672801858a0ac1f6b4f367ff036dd2678f384395ee833
2d_etc1s.ktx2	4	bc1	512	7a6e468be0c320d3510c40799fcaa978907f6001148bae125131b5cc37ffd98f
2d_etc1s.ktx2	4	bc3	1024	72dc3558197402a52f48faeb5c69e1e94773cbb3c8787cbc5fdca2f916a3b301
2d_etc1s.ktx2	4	etc1	512	3d3ed9bd3f85558b7803c2e1736379a8491cdfeae3a02bade404435235b21911
2d_etc1s.ktx2	4	etc2	1024	a6f30d5b85082b6a1f63b6e0b617f430df9c08c88f7d1eaf60405187c59943d0
2d_etc1s.ktx2	4	astc	1024	98de827843e3a2f046768d1116298ae701eb103970a8ab8135820ca407b5d0a6
2d_etc1s.ktx2	5	rgba8	1024	6f720cb38c626a44dd3947ac8b49664fc8fc3de147354a24b0c34a49262c83b6
2d_etc1s.ktx2	5	bc1	128	473d19bcca35c7baaffc3bf197f0d5098680f1c257493442d579ab9df9bb1f84
2d_etc1s.ktx2	5	bc3	256	91fb57f5e29e9a7cde563fdebc9f1485a78716c8a7c728cdf7fdb31434dbf846
2d_etc1s.ktx2	5	etc1	128	d7e279c9e7c94b0bb4552cd74c5f528ddec45846c98ff5aed4d81caf843ff328
2d_etc1s.ktx2	5	etc2	256	08883408c39e433e8ee9c92ffbb6b4ef8c522807af0eefaebf3e9f37daad8994
2d_etc1s.ktx2	5	astc	256	19b3fca63c394fc6e27014bcd4d11f4516419382a1e6ff2b8f845512ac4778a5
2d_etc1s.ktx2	6	rgba8	256	57877f02e186bb0c7f13d2a4dff1d16dd3e3b67d0b4a15ded189d7216a68d6fb
2d_etc1s.ktx2	6	bc1	32	8555f993f767dd6d143c989429675cec1105fb5157d075a31816fe5b9d836bdb
2d_etc1s.ktx2	6	bc3	64	1e9c40c980d20106f9acbc7ca1b825800ce6b135030d30d7497648f8788c155f
2d_etc1s.ktx2	6	etc1	32	24ef4c89cac6f4d49ca9b620adf4e219fe9de6c91ad75e1de11ac2df541dbb3c
2d_etc1s.ktx2	6	etc2	64	a98f99c537bb5cbec85913df4c017e359269062c03947cacf8d6d8aabf5d6973
2d_etc1s.ktx2	6	astc	64	edc0721265fbe04c9773d5052beeffbae5d52971a5ab5fa9b59dd0f26ad35b85
2d_etc1s.ktx2	7	rgba8	64	431434fe9db6bc0d6826283e8ddbf8f1e27002494b4b96f42a7fb0637a587590
2d_etc1s.ktx2	7	bc1	8	23f567452556acd36d6efb4112a043a9bc1f25ae42e53deebdec09cc6e575b96
2d_etc1s.ktx2	7	bc3	16	6334b056708a59da6cb7b61ec3d6cd72e0db468ded0e76e0e13681ce5b0ca63b
2d_etc1s.ktx2	7	etc1	8	a3038c16972bfbb0732ca4cb76838592acb8b62ece1bafe9346a73c48c4180b3
2d_etc1s.ktx2	7	etc2	16	ae4a818ab91f1f09c504391e1ca99e9ac2a2adaac7b69ef056ceb43a8c365879
2d_etc1s.ktx2	7	astc	16	fbe864e8ce50a3424db763236dbef9ae5a98aa7ee98bf8d541ba749af192b4f7
2d_etc1s.ktx2	8	rgba8	16	acff0e0c382a89dbda7ea59139bb1d112b077d287825b432f5ece9306d7896ad
2d_etc1s.ktx2	8	bc1	8	38630320de70e642637d060c44fed2fa6ca53f9210c14f27aebdd1c17196e550
2d_etc1s.ktx2	8	bc3	16	8e5e755381559ce74857496aaef2462c10f66c1f9c7f84922db9021f847cdfef
2d_etc1s.ktx2	8	etc1	8	4cf6f756e7bc4856c0236b9e7485c8d3f0fcd2bc10f87b8fd07557c52dfedd69
2d_etc1s.ktx2	8	etc2	16	5bd6188c214fa7519b536a6cd283f44f152ac20ecb4f3912d43c070a54fa21b3
2d_etc1s.ktx2	8	astc	16	e540b0600832014cdd4234b3b4588164a23925acb06cec39a89f91d10c1fdbde
2d_etc1s.ktx2	9	rgba8	4	f3e8773b2f8ebce1f3b03cf44f5a95e8ecaccab39b79bcb40cde7a2206b43840
2d_etc1s.ktx2	9	bc1	8	0bc0057873e4a159e6d7f659d7b279243c179fc734186c0abf4e4ac29d3dbc35
2d_etc1s.ktx2	9	bc3	16	34ada046eebd0ee0082f968b88bc0765cacd04922201e4f490408288ad4eb4bd
2d_etc1s.ktx2	9	etc1	8	ec66f7b1f7c1ca8e3e1f8aeff37a0c645320aea3969b90edf7b5f09022b20601
2d_etc1s.ktx2	9	etc2	16	9455c599643f2b1d39dd70ab0c400f1022728204ef19b9f76b178c9fbfb69d57
2d_etc1s.ktx2	9	astc	16	46ec516fc1ee5cf6abef2b41113a172879cf33e05532ecbe5ed89264a4a5c0ba
sample_etc1s.ktx2	0	rgba8	4194304	ead04e5c9690a002421a90465b3fb3d83d6265affe271b41634d9f6f2d4eac4b
sample_etc1s.ktx2	0	bc1	524288	bbb46307a556d7667be27ab22bf22888eb92a3ccc65a2c244d95658f133441c7
sample_etc1s.ktx2	0	bc3	1048576	61ac7b782c126059e8f5fb88ec311c58202b143daab8ba42b736e04f9aa40b06
sample_etc1s.ktx2	0	etc1	524288	c751ea59445b61c77a02b7c90cdfdfe5bba435b65c084f375346c1fab7106ba0
sample_etc1s.ktx2	0	etc2	1048576	3fe80eadbf72c93addb328170b34c7912ececdd5407c56ac07184cbeab634ac9
sample_etc1s.ktx2	0	astc	1048576	be4c4d1174eaa769840e08943f707446a74e54363f2a793c73e798c6e241bc00
sample_etc1s.ktx2	1	rgba8	1048576	f6b25205ca33d77ca76eda37f0f5f3df8d619c080e403b75c6e98a6ce6265fab
sample_etc1s.ktx2	1	bc1	131072	6ddcc40a706dabc904f8cb569bc343e5db7e82d4b6c7569dc081af7b9096a8f0
sample_etc1s.ktx2	1	bc3	262144	f0cbf528f9cc82daf6f075dbad0efeae4fdbfdba4e24afe1fb56f11bcefa88e0
sample_etc1s.ktx2	1	etc1	131072	166c736f3ea8f9f7bfaac1d9ee7304e5e690edab686dd008c3f844f5b861eae4
sample_etc1s.ktx2	1	etc2	262144	0a80c5d37a1e1e6bbbe2293b800855698d8664da5a05f0e4bb75cfac67b95dbc
sample_etc1s.ktx2	1	astc	262144	f06106c2098ca854ef79439e7244fdff925013a1df4f2f947ba583ef3a6bae9f
sample_etc1s.ktx2	2	rgba8	262144	69b47768c5cbfdb876b0177d894c23af0a8f6c7a55aabfd3717dd9ae9f03d4c9
sample_etc1s.ktx2	2	bc1	32768	160c29fa7b3ad479cf0e852434c86bccce07dc6b9ce172903f439f56532ccf8b
sample_etc1s.ktx2	2	bc3	65536	06255cb570ab5710ca70b2db9ab38bc06aeba5e8885350ec8a9ace1261dccb7d
sample_etc1s.ktx2	2	etc1	32768	288ab0a9505f9d3d58ebe6c4220ad5aeed38f83c27b2a323d8ebba49e822be10
sample_etc1s.ktx2	2	etc2	65536	4d0bfa267caf4bee3b62799020a4307c052fdd294b295cdf287a69b90770a12a
sample_etc1s.ktx2	2	astc	65536	ba572be4a13d53fb6e8634429912fab53585e2c0783a595701beb5232b14af1d
sample_etc1s.ktx2	3	rgba8	65536	5d7d76d77ff3a9f260e69a6afb87ad8944800d68fc0ccabf7fbcc92d84ece409
sample_etc1s.ktx2	3	bc1	8192	5934c4384c9a17e34cb8538cdbcb4148b587eb87496bc255358a8ca6f669275e
sample_etc1s.ktx2	3	bc3	16384	78ccc1f22fcff1b7959c985169fdffce4babcae35233bb97f2c1425d6f4f7268
sample_etc1s.ktx2	3	etc1	8192	c350e3c39a2f10650155edb53c8b123e7e0f839702f859f02817b4d9291d02ee
sample_etc1s.ktx2	3	etc2	16384	0a4969befb83ada179457296d00862ff701c9763417cc3ff751f1952731399bd
sample_etc1s.ktx2	3	astc	16384	fc9ac343de985d439e37105c34a4829f18986aaab24a6b719bdc82793d4272ac
sample_etc1s.ktx2	4	rgba8	16384	3ea9fef5bcdeff06da873814f6def05eb1f2f66d1c969a3a2249f67603eeb951
sample_etc1s.ktx2	4	bc1	2048	ec35dab8f75e4db90b066c6e5a9f499e5b6901c0a0bd53d01890ebec3d402f87
sample_etc1s.ktx2	4	bc3	4096	3203d224081d574af6ce22c8cc581185f4337d3a9bd7bcd67abae550538f8b63
sample_etc1s.ktx2	4	etc1	2048	9956f9076da250e50371a022bc1e76e7b67e6e9c4ebf8b7299d5fb68066a1fdd
sample_etc1s.ktx2	4	etc2	4096	0597f6699a59b59e6323f391586cc2f536aec9fd61b582dce531087818169d83
sample_etc1s.ktx2	4	astc	4096	e9f2885280f024946ae7d5da8ffb69176157b2fe9ef9fdc1ef6fa02c509b7368
sample_etc1s.ktx2	5	rgba8	4096	e01d55ee16eb2e02d36e26285f892756564c9bd601de0261baa63e483ffbe617
sample_etc1s.ktx2	5	bc1	512	1a7da477a12c9da124a5317d25c2b096e094f6584412444293db9fa958cd95cf
sample_etc1s.ktx2	5	bc3	1024	cc5493588e4c8b9878a66c327b604a4f3506f64b84ff179858eb5c33aa25669a
sample_etc1s.ktx2	5	etc1	512	3d0d30cd5d0192a0785960be18dffdd620b3903b007b6acf787aa1af0466bbdb
sample_etc1s.ktx2	5	etc2	1024	4a97eff45116bbcf0849aa1b388e789b213a12a4c83d6f766041bd6d21bf94f5
sample_etc1s.ktx2	5	astc	1024	39ddc19984a87006c19966542871080c7f7e1606b41d435659c83a4d8d271e0a
sample_etc1s.ktx2	6	rgba8	1024	15c4d97f57cca91bbeda7f873e7a015035329fd0f5a1fab9f47e30ab850ddd84
sample_etc1s.ktx2	6	bc1	128	215d084adda562f7f8dee2ae6e6a1de32944a4455e9fbab649c0a396080f972a
sample_etc1s.ktx2	6	bc3	256	655f0aa87d279e2cc773ee124c711412a1c7fde284d7e3663bca4c30130ac0cc
sample_etc1s.ktx2	6	etc1	128	bbf2f6200840246bc214e2ce23866353b59eea2be2542c73556d10b09b5bee9e
sample_etc1s.ktx2	6	etc2	256	b80a567418abff3ddbc567defd5283322037aaca6dac75b16e43a70b8f856729
sample_etc1s.ktx2	6	astc	256	358eb4695e49ebf920f6e0a03c9481c74208c0a3d375e1961f9602738210415e
